30 30 00BBBBBB0BBBBBBBBBBBBBBB0000000000000000BBBBBBBBBBBBBB0000000000000000BBBBBBBBBBBB0000000000000BB000000BBBBBBBBB0000000000000000000000000000000000000000000BB0000000000000000000000000000BBB000000000000000000000000000BBB0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 0, Y: 0
E: 6, X: 216, Y: 2
E: 6, X: 224, Y: 0
